"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
2550.89366693032,5.02944736028423,0.159169647772964,31.5980303446931,3.92941013523156e-219,1.24291171987509e-214,"56300"
17258.8960191232,5.04602789799647,0.16866935642854,29.91668436308,1.19405454836108e-196,1.88845697096046e-192,"2706"
10684.4437110673,3.56581268136207,0.122452642901038,29.1199323827077,2.00813459021151e-186,2.11731017409935e-182,"2171"
2666.53423699787,4.04806860402777,0.143257527204771,28.2572838091885,1.158303036974e-175,9.15957084063113e-172,"283748"
677.710356750074,4.8840075712691,0.174224163024283,28.032894441791,6.4572092863443e-173,4.08495973872713e-169,"8942"
516.774320813262,7.50448238726744,0.27303812498802,27.4851081239908,2.64530417973597e-166,1.39456027515381e-162,"9407"
681.743475062386,2.36524003040387,0.0882226899726273,26.8098833887034,2.47829945171488e-158,1.11987271367419e-154,"7162"
1430.70267983906,10.3741990356594,0.388954909517382,26.6719837744992,9.95121359204451e-157,3.9345854641245e-153,"100289462"
434.369910101141,3.70752690365273,0.140796911828059,26.33244476399,8.15527877627399e-153,2.86621803302581e-149,"64581"
3398.81013017323,10.8790077628354,0.41322492506122,26.3270850886444,9.39321282531568e-153,2.9711671487756e-149,"1673"
207.240007531153,4.41375469402133,0.168374970563762,26.2138409244733,1.84797812313063e-151,5.31394509206773e-148,"83886"
729.641191559529,3.72962817103854,0.143014415577575,26.0786869349929,6.36257437421228e-150,1.67712158358924e-146,"26085"
1011.93118267581,4.86035953662715,0.189061385305668,25.7078383762453,9.55296780774884e-146,2.3243840363608e-142,"387695"
791.472025934897,1.70690811144444,0.0665963277760349,25.6306641589129,6.94671290602479e-145,1.5695105423605e-141,"64127"
2775.72833843691,2.79863784843468,0.10962311387551,25.5296328437893,9.24439256459882e-144,1.94939587473884e-140,"84518"
1418.56123215781,3.45543753570969,0.136838269599115,25.2519821087539,1.07718879286813e-140,2.12953491920073e-137,"80149"
246.575026890683,-3.38303831546442,0.134900609952034,-25.0780060717835,8.64315177778643e-139,1.60818549343037e-135,"137075"
486.586386895836,3.07987880284387,0.12333513235371,24.9716260409171,1.24355640446523e-137,2.18527403497999e-134,"11219"
7754.36864559844,3.01537120258686,0.121582817632246,24.8009649826303,8.75257084673048e-136,1.45711878133122e-132,"100133941"
5539.33521814716,3.69665341814569,0.149314236361423,24.7575415997021,2.57154819174841e-135,4.06703204265971e-132,"10804"
18674.0859301681,6.36974861538876,0.257964861224249,24.6923111355524,1.29352512154716e-134,1.94835681522182e-131,"6317"
